Hospital Name,City,Staffed Beds,Total Discharges,Patient Days,State
DeKalb Regional Medical Center,Fort Payne,115,"3,207","11,591",Alabama
East Alabama Medical Center,Opelika,515,"17,172","76,479",Alabama
East Alabama Medical Center - Lanier,Valley,187,"2,532","11,600",Alabama
Elmore Community Hospital,Wetumpka,33,789,"3,590",Alabama
Evergreen Medical Center,Evergreen,44,"1,543","4,719",Alabama
Fayette Medical Center,Fayette,167,840,"2,518",Alabama
Flowers Hospital,Dothan,235,"12,205","55,520",Alabama
Gadsden Regional Medical Center,Gadsden,271,"12,897","60,383",Alabama
Grandview Medical Center,Birmingham,402,"21,858","105,337",Alabama
Greene County Health System,Eutaw,92,139,493,Alabama
Grove Hill Memorial Hospital,Grove Hill,30,840,"2,895",Alabama
Hale County Hospital,Greensboro,28,459,"1,483",Alabama
Helen Keller Hospital,Sheffield,178,"7,325","27,993",Alabama
Highlands Medical Center,Scottsboro,218,"2,884","10,051",Alabama
Hill Hospital Of Sumter County,York,33,435,"5,460",Alabama
Huntsville Hospital,Huntsville,912,"49,884","239,808",Alabama
Jack Hughston Memorial Hospital,Phenix City,47,"2,926","6,679",Alabama
Jackson Hospital,Montgomery,270,"15,439","74,145",Alabama
Jackson Medical Center,Jackson,35,746,"2,653",Alabama
John Paul Jones Hospital,Camden,21,172,491,Alabama
Lake Martin Community Hospital,Dadeville,46,574,"1,595",Alabama
Lakeland Community Hospital,Haleyville,58,"1,258","4,583",Alabama
Lawrence Medical Center,Moulton,43,625,"1,599",Alabama
Madison Hospital,Madison,0,0,0,Alabama
Marshall Medical Center North,Guntersville,90,"4,712","18,949",Alabama
Marshall Medical Center South,Boaz,204,"9,069","38,089",Alabama
Medical Center Barbour,Eufaula,47,"1,005","3,931",Alabama
Medical Center Enterprise,Enterprise,99,"3,392","10,114",Alabama
Medical West,Bessemer,231,"6,336","33,095",Alabama
Mizell Memorial Hospital,Opp,59,"1,157","4,426",Alabama
Mobile Infirmary Medical Center,Mobile,669,"24,926","146,711",Alabama
Monroe County Hospital,Monroeville,49,"1,111","3,594",Alabama
North Alabama Medical Center,Florence,233,"12,472","61,969",Alabama
North Baldwin Infirmary,Bay Minette,70,"1,922","6,207",Alabama
North Mississippi Medical Center - Hamilton,Hamilton,115,584,"1,722",Alabama
Northport Medical Center,Northport,207,"5,073","26,754",Alabama
Northwest Medical Center,Winfield,71,914,"2,977",Alabama
Prattville Baptist Hospital,Prattville,55,"2,887","12,509",Alabama
Princeton Baptist Medical Center,Birmingham,309,"13,790","70,611",Alabama
Providence Hospital,Mobile,349,"13,968","71,743",Alabama
Regional Medical Center of Central Alabama,Greenville,57,853,"2,928",Alabama
Riverview Regional Medical Center,Gadsden,281,"6,497","24,619",Alabama
RMC Anniston,Anniston,270,"12,948","58,659",Alabama
Russell Medical Center,Alexander City,34,"2,380","8,115",Alabama
Russellville Hospital,Russellville,49,"1,699","5,958",Alabama
Saint Vincent's Birmingham,Birmingham,400,"21,302","103,744",Alabama
Saint Vincent's Chilton,Clanton,26,723,"2,335",Alabama
Saint Vincent's East,Birmingham,349,"14,059","82,556",Alabama
Saint Vincent's Saint Clair,Pell City,40,"1,850","8,561",Alabama
Shelby Baptist Medical Center,Alabaster,252,"10,376","46,061",Alabama
Shoals Hospital,Muscle Shoals,184,"1,194","5,448",Alabama
South Baldwin Regional Medical Center,Foley,112,"6,727","26,065",Alabama
Southeast Health Medical Center,Dothan,327,"19,963","95,560",Alabama
Springhill Medical Center,Mobile,209,"11,527","59,522",Alabama
Thomas Hospital,Fairhope,141,"10,337","38,655",Alabama
Troy Regional Medical Center,Troy,115,"1,736","5,794",Alabama
UAB Callahan Eye Hospital,Birmingham,12,130,293,Alabama
UAB Hospital,Birmingham,"1,205","44,804","317,372",Alabama
UAB Hospital Highlands,Birmingham,73,"3,641","12,477",Alabama
USA Health University Hospital,Mobile,149,"8,443","49,731",Alabama
Vaughan Regional Medical Center,Selma,109,"5,216","17,242",Alabama
Walker Baptist Medical Center,Jasper,259,"5,842","23,886",Alabama
Wiregrass Medical Center,Geneva,185,956,"4,419",Alabama
Northwest Health Physicians' Specialty Hospital,Fayetteville,20,"1,319","2,088",Arkansas
Unity Health - Harris Medical Center,Newport,121,"1,589","4,078",Arkansas
Arkansas Continued Care Hospital of Jonesboro,Jonesboro,44,73,"2,042",Arkansas
Arkansas Heart Hospital,Little Rock,112,"6,194","23,232",Arkansas
Arkansas Methodist Medical Center,Paragould,129,"3,693","12,305",Arkansas
Arkansas Surgical Hospital,North Little Rock,49,"3,497","6,925",Arkansas
Baptist Health - Little Rock,Little Rock,734,"28,081","155,026",Arkansas
Baptist Health - North Little Rock,North Little Rock,205,"10,202","41,757",Arkansas
Baptist Health - Stuttgart,Stuttgart,49,981,"3,326",Arkansas
Baptist Health Medical Center Conway,Conway,110,"3,029","9,890",Arkansas
Baptist Health Medical Center-Hot Spring County,Malvern,64,"2,248","9,215",Arkansas
Baptist Health-Fort Smith,Fort Smith,343,"12,427","58,267",Arkansas
Baptist Health-Van Buren,Van Buren,39,"1,005","2,877",Arkansas
Baptist Memorial Hospital-Crittenden,West Memphis,0,0,0,Arkansas
Baxter Regional Medical Center,Mountain Home,212,"9,167","32,384",Arkansas
Chambers Memorial Hospital,Danville,42,"1,318","4,142",Arkansas
CHI St. Vincent Hot Springs,Hot Springs,229,"11,605","51,792",Arkansas
CHI St. Vincent Infirmary,Little Rock,393,"17,643","94,504",Arkansas
CHI St. Vincent North,Sherwood,59,"2,235","8,851",Arkansas
Conway Regional Medical Center,Conway,150,"7,607","31,383",Arkansas
Drew Memorial Hospital,Monticello,49,"2,249","7,095",Arkansas
Five Rivers Medical Center,Pocahontas,44,"1,012","1,550",Arkansas
Forrest City Medical Center,Forrest City,70,"2,017","6,640",Arkansas
Great River Medical Center,Blytheville,33,"1,423","4,442",Arkansas
Helena Regional Medical Center,Helena,127,"1,540","4,791",Arkansas
Jefferson Regional Medical Center,Pine Bluff,316,"8,873","44,226",Arkansas
John L. McClellan Memorial Veterans Hospital,Little Rock,0,0,0,Arkansas
Johnson Regional Medical Center,Clarksville,89,"1,873","4,933",Arkansas
Levi Hospital,Hot Springs National Park,53,1,1,Arkansas
Magnolia Regional Medical Center,Magnolia,30,"1,285","4,054",Arkansas
Medical Center of South Arkansas,El Dorado,131,"3,366","12,823",Arkansas
Mena Regional Health System,Mena,65,"1,174","4,712",Arkansas
Mercy Hospital Fort Smith,Fort Smith,385,"15,656","69,507",Arkansas
Mercy Hospital Northwest Arkansas,Rogers,206,"12,636","43,112",Arkansas
Mercy Orthopedic Hospital Fort Smith,Fort Smith,0,0,0,Arkansas
National Park Medical Center,Hot Springs,163,"5,760","29,551",Arkansas
NEA Baptist Memorial Hospital,Jonesboro,204,"10,705","47,204",Arkansas
North Arkansas Regional Medical Center,Harrison,134,"3,091","9,382",Arkansas
Northwest Medical Center - Bentonville,Bentonville,121,"5,192","22,923",Arkansas
Northwest Medical Center - Springdale,Springdale,300,"11,582","57,735",Arkansas
Ouachita County Medical Center,Camden,82,"1,622","5,154",Arkansas
Saint Mary's Regional Health System,Russellville,157,"5,356","23,319",Arkansas
Saline Memorial Hospital,Benton,161,"5,394","18,862",Arkansas
Siloam Springs Regional Hospital,Siloam Springs,44,"1,733","4,830",Arkansas
St. Bernards Medical Center,Jonesboro,353,"16,929","81,760",Arkansas
Unity Health White County Medical Center,Searcy,272,"11,605","50,891",Arkansas
University of Arkansas for Medical Sciences (UAMS) Medical Center,Little Rock,505,"28,215","152,000",Arkansas
Veterans Health Care System of the Ozarks,Fayetteville,0,0,0,Arkansas
Wadley Regional Medical Center at Hope,Hope,79,824,"3,116",Arkansas
Washington Regional Medical Center,Fayetteville,320,"16,340","70,156",Arkansas
White River Medical Center,Batesville,221,"7,611","30,581",Arkansas
Willow Creek Women's Hospital,Johnson,30,"3,357","11,571",Arkansas
Abrazo Arizona Heart Hospital,Phoenix,0,0,0,Arizona
Abrazo Arrowhead Hospital,Glendale,262,"15,927","63,445",Arizona
Abrazo Central Campus,Phoenix,160,"7,687","32,962",Arizona
Abrazo Mesa Hospital,Mesa,0,0,0,Arizona
Abrazo Scottsdale Campus,Phoenix,127,"5,521","21,159",Arizona
Abrazo West Campus,Goodyear,179,"12,134","51,137",Arizona
Arizona Specialty Hospital,Chandler,24,980,"2,013",Arizona
Arizona Spine and Joint Hospital,Mesa,23,"1,460","2,064",Arizona
Banner - University Medical Center Tucson,Tucson,479,"20,951","127,160",Arizona
Banner - University Medical Center Phoenix,Phoenix,712,"30,170","173,066",Arizona
Banner - University Medical Center South Campus,Tucson,150,"7,383","34,017",Arizona
Banner Baywood Medical Center,Mesa,340,"14,601","68,249",Arizona
Banner Boswell Medical Center,Sun City,525,"13,678","63,622",Arizona
Banner Casa Grande Medical Center,Casa Grande,141,"6,087","22,609",Arizona
Banner Del E. Webb Medical Center,Sun City West,394,"15,239","64,208",Arizona
Banner Desert Medical Center,Mesa,615,"37,223","166,017",Arizona
Banner Estrella Medical Center,Phoenix,317,"18,088","77,742",Arizona
Banner Gateway Medical Center,Gilbert,165,"13,162","57,196",Arizona
Banner Goldfield Medical Center,Apache Junction,20,772,"2,062",Arizona
Banner Heart Hospital,Mesa,111,"4,708","19,807",Arizona
Banner Ironwood Medical Center,Queen Creek,53,"3,361","11,561",Arizona
Banner Thunderbird Medical Center,Glendale,555,"27,882","118,529",Arizona
Cancer Treatment Centers of America - Western Regional Medical Center,Goodyear,0,0,0,Arizona
Canyon Vista Medical Center,Sierra Vista,94,"4,879","14,471",Arizona
Carondelet Heart & Vascular Institute,Tucson,60,"1,162","4,175",Arizona
Chandler Regional Medical Center,Chandler,338,"21,409","103,310",Arizona
Chinle Comprehensive Health Care Facility,Chinle,60,"1,534","4,737",Arizona
Dignity Health Arizona General Hospital Laveen,Laveen,16,417,"1,095",Arizona
Dignity Health Arizona General Hospital Mesa,Mesa,0,0,0,Arizona
Flagstaff Medical Center,Flagstaff,264,"12,442","54,432",Arizona
Florence Hospital,Florence,0,0,0,Arizona
Havasu Regional Medical Center,Lake Havasu City,163,"6,356","25,683",Arizona
HonorHealth Deer Valley Medical Center,Phoenix,204,"11,940","53,172",Arizona
HonorHealth John C. Lincoln Medical Center,Phoenix,262,"11,618","56,331",Arizona
HonorHealth Scottsdale Osborn Medical Center,Scottsdale,341,"12,857","57,457",Arizona
HonorHealth Scottsdale Shea Medical Center,Scottsdale,427,"15,336","89,916",Arizona
HonorHealth Scottsdale Thompson Peak Medical Center,Scottsdale,120,"6,799","23,016",Arizona
Kingman Regional Medical Center,Kingman,214,"7,254","39,611",Arizona
Mayo Clinic Hospital,Phoenix,273,"16,363","75,387",Arizona
Mercy Gilbert Medical Center,Gilbert,198,"15,178","60,125",Arizona
Mount Graham Regional Medical Center,Safford,49,"1,806","4,592",Arizona
Mountain Vista Medical Center,Mesa,162,"6,418","26,359",Arizona
Northern Arizona VA Health Care System,Prescott,0,0,0,Arizona
Northwest Medical Center,Tucson,294,"13,913","50,730",Arizona
OASIS Hospital,Phoenix,64,"4,171","8,383",Arizona
Oro Valley Hospital,Tucson,146,"4,871","15,311",Arizona
Phoenix Indian Medical Center,Phoenix,133,"2,428","7,608",Arizona
Phoenix VA Health Care System,Phoenix,0,0,0,Arizona
Saint Joseph's Hospital,Tucson,486,"14,862","60,527",Arizona
Saint Joseph's Hospital and Medical Center,Phoenix,512,"35,453","151,686",Arizona
Saint Joseph's Westgate Medical Center,Glendale,0,0,0,Arizona
Saint Mary's Hospital,Tucson,400,"10,227","44,324",Arizona
San Carlos Apache Healthcare,Peridot,8,338,"1,171",Arizona
Santa Cruz Valley Regional Hospital,Green Valley,49,"1,421","4,488",Arizona
Sells Indian Hospital,Sells,14,262,981,Arizona
Southern Arizona VA Health Care System,Tucson,0,0,0,Arizona
Summit Healthcare Regional Medical Center,Show Low,89,"4,674","15,854",Arizona
Tempe Saint Luke's Hospital,Tempe,65,"3,320","10,215",Arizona
The CORE Institute Specialty Hospital,Phoenix,32,"2,147","2,481",Arizona
Tsehootsooi Medical Center,Fort Defiance,56,"2,555","9,583",Arizona
Tuba City Indian Medical Center,Tuba City,73,"2,226","10,542",Arizona
Tucson Medical Center,Tucson,457,"33,653","146,087",Arizona
Valley View Medical Center,Fort Mohave,84,"2,147","7,439",Arizona
Valleywise Behavioral Health Center-Maryvale,Phoenix,228,"3,640","15,153",Arizona
Valleywise Health Medical Center,Phoenix,564,"12,478","53,922",Arizona
Verde Valley Medical Center,Cottonwood,98,"4,581","17,025",Arizona
Verde Valley Medical Center-Sedona Campus,Sedona,0,0,0,Arizona
Western Arizona Regional Medical Center,Bullhead City,139,"4,453","18,253",Arizona
Whiteriver Indian Hospital,Whiteriver,40,973,"3,767",Arizona
Yavapai Regional Medical Center - East,Prescott Valley,56,"4,182","14,511",Arizona
Yavapai Regional Medical Center - West,Prescott,206,"11,528","41,763",Arizona
Yuma Regional Medical Center,Yuma,406,"16,155","66,362",Arizona
Adventist Health Simi Valley,Simi Valley,144,"6,574","26,847",California
Adventist Ukiah Valley,Ukiah,50,"3,451","12,747",California
Downey Medical Center,Downey,352,"15,856","70,158",California
MarinHealth Medical Center,Greenbrae,235,"9,248","39,395",California
Providence Saint John's Health Center,Santa Monica,266,"12,400","57,959",California
Woodland Hills Medical Center,Woodland Hills,252,"8,564","33,082",California
60th Medical Group - David Grant USAF Medical Center,Travis Air Force Base,0,0,0,California
Adventist Health and Rideout,Marysville,209,"11,677","56,930",California
Adventist Health Bakersfield,Bakersfield,254,"17,389","67,655",California
Adventist Health Glendale,Glendale,451,"17,633","78,905",California
Adventist Health Hanford,Hanford,230,"9,455","47,221",California
Adventist Health Lodi Memorial,Lodi,190,"8,990","34,259",California
Adventist Health Reedley,Reedley,49,"1,838","6,199",California
Adventist Health Saint Helena,Saint Helena,130,"3,690","22,828",California
Adventist Health Selma,Selma,0,0,0,California
Adventist Health Sonora,Sonora,152,"4,158","14,686",California
Adventist Health Tulare,Tulare,108,688,"3,359",California
Adventist Health Vallejo,Vallejo,0,0,0,California
Adventist Health White Memorial,Los Angeles,353,"18,937","82,082",California
AHMC Anaheim Regional Medical Center,Anaheim,223,"10,240","46,132",California
Alameda Hospital,Alameda,215,"2,408","12,134",California
Alhambra Hospital Medical Center,Alhambra,144,"4,792","20,061",California
Alta Bates Summit Medical Center,Oakland,354,"11,595","52,305",California
Alta Bates Summit Medical Center Herrick Campus,Berkeley,0,0,0,California
Alta Bates Summit Medical Center Alta Bates Campus,Berkeley,401,"9,352","65,087",California
Alvarado Hospital Medical Center,San Diego,304,"4,832","23,507",California
Anaheim Global Medical Center,Anaheim,183,"2,682","19,959",California
Anaheim Medical Center,Anaheim,484,"24,383","98,691",California
Antelope Valley Hospital,Lancaster,393,"19,155","86,522",California
Antioch Medical Center,Antioch,138,"7,326","25,035",California
Arrowhead Regional Medical Center,Colton,456,"19,145","99,359",California
Arroyo Grande Community Hospital,Arroyo Grande,67,"4,298","14,331",California
Bakersfield Heart Hospital,Bakersfield,47,"3,098","12,512",California
Bakersfield Memorial Hospital,Bakersfield,421,"17,245","71,705",California
Baldwin Park Medical Center,Baldwin Park,257,"11,026","41,403",California
Barstow Community Hospital,Barstow,30,"2,099","6,860",California
Barton Memorial Hospital,South Lake Tahoe,111,"2,322","7,196",California
Beverly Hospital,Montebello,224,"10,290","39,617",California
California Hospital Medical Center,Los Angeles,318,"18,047","77,124",California
California Mens Colony Hospital,San Luis Obispo,0,0,0,California
Casa Colina Hospital and Centers for Healthcare,Pomona,99,"1,195","4,371",California
Cedars-Sinai Medical Center,Los Angeles,880,"56,087","272,413",California
Centinela Hospital Medical Center,Inglewood,345,"15,776","62,436",California
CHA Hollywood Presbyterian Medical Center,Los Angeles,434,"12,157","57,819",California
Chapman Global Medical Center,Orange,114,"1,951","5,705",California
Chinese Hospital,San Francisco,65,"1,188","5,357",California
Chino Valley Medical Center,Chino,112,"5,235","15,076",California
City of Hope Comprehensive Cancer Center,Duarte,217,"6,595","73,030",California
Clovis Community Medical Center,Clovis,208,"15,196","70,096",California
Coast Plaza Hospital,Norwalk,117,"2,401","10,857",California
College Hospital Costa Mesa,Costa Mesa,122,"4,001","40,694",California
College Medical Center,Long Beach,221,"8,949","63,677",California
Colusa Medical Center,Colusa,48,930,"3,349",California
Community Hospital of Huntington Park,Huntington Park,81,"3,385","13,865",California
Community Hospital of San Bernardino,San Bernardino,347,"7,284","32,372",California
Community Hospital of the Monterey Peninsula,Monterey,286,"10,600","53,689",California
Community Memorial Hospital,Ventura,201,"11,698","50,701",California
Community Regional Medical Center,Fresno,887,"38,619","227,803",California
Concord Medical Center,Concord,244,"11,397","53,393",California
Contra Costa Regional Medical Center,Martinez,147,"6,412","42,614",California
Corona Regional Medical Center,Corona,238,"7,314","30,686",California
CPMC Davies Campus,San Francisco,223,"3,123","15,735",California
CPMC Mission Bernal Campus,San Francisco,120,"3,348","16,566",California
CPMC Van Ness Campus,San Francisco,0,0,0,California
Dameron Hospital,Stockton,170,"3,523","13,298",California
Delano Regional Medical Center,Delano,107,"2,370","8,658",California
Desert Regional Medical Center,Palm Springs,369,"19,134","88,402",California
Desert Valley Hospital,Victorville,148,"9,285","38,260",California
Doctors Hospital of Manteca,Manteca,73,"3,789","15,639",California
Doctors Medical Center of Modesto,Modesto,447,"22,967","115,622",California
Dominican Hospital,Santa Cruz,222,"10,129","47,680",California
East Los Angeles Doctors Hospital,Los Angeles,127,"2,865","13,617",California
Eden Medical Center,Castro Valley,130,"8,424","40,214",California
Eisenhower Medical Center,Rancho Mirage,368,"19,581","68,795",California
El Camino Hospital Los Gatos Campus,Los Gatos,0,0,0,California
El Camino Hospital Mountain View Campus,Mountain View,443,"22,741","82,128",California
El Centro Regional Medical Center,El Centro,161,"5,477","24,960",California
Emanate Health Foothill Presbyterian Hospital,Glendora,105,"5,685","24,141",California
Emanate Health Inter-Community Hospital,Covina,516,"23,279","101,478",California
Emanate Health Queen of the Valley Hospital,West Covina,325,"17,166","93,266",California
Emanuel Medical Center,Turlock,209,"9,059","35,880",California
Encino Hospital Medical Center,Encino,148,"3,066","12,251",California
Enloe Medical Center,Chico,338,"19,702","82,842",California
Fairmont Rehabilitation and Wellness,San Leandro,0,0,0,California
Fairview Developmental Center,Costa Mesa,30,41,359,California
Fontana Medical Center,Fontana,626,"32,864","141,541",California
Foothill Regional Medical Center,Tustin,177,"2,601","10,338",California
Fountain Valley Regional Hospital and Medical Center,Fountain Valley,400,"19,041","90,669",California
French Hospital Medical Center,San Luis Obispo,98,"4,712","18,833",California
Fresno Heart & Surgical Hospital,Fresno,57,"3,127","11,353",California
Fresno Medical Center,Fresno,169,"8,227","31,848",California
Fresno Surgical Hospital,Fresno,27,"1,790","2,234",California
Garden Grove Hospital and Medical Center,Garden Grove,167,"5,058","19,814",California
Garfield Medical Center,Monterey Park,210,"9,833","52,451",California
Glendale Memorial Hospital & Health Center,Glendale,304,"9,565","42,116",California
Glendora Oaks Behavioral Health Hospital,Glendora,128,"1,817","10,081",California
Goleta Valley Cottage Hospital,Santa Barbara,28,"1,687","3,629",California
Good Samaritan Hospital,San Jose,342,"16,472","81,332",California
Good Samaritan Hospital,Los Angeles,310,"11,766","68,981",California
Good Samaritan Hospital North,Bakersfield,64,"1,120","4,611",California
Greater El Monte Community Hospital,South El Monte,117,"3,144","14,772",California
Harbor-UCLA Medical Center,Torrance,428,"17,504","90,535",California
Hazel Hawkins Memorial Hospital,Hollister,168,"1,795","6,892",California
Hemet Global Medical Center,Hemet,417,"9,970","42,751",California
Henry Mayo Newhall Memorial Hospital,Valencia,238,"11,109","49,029",California
Hi-Desert Medical Center,Joshua Tree,175,"1,945","5,472",California
Highland Hospital,Oakland,372,"10,580","59,337",California
Hoag Hospital Irvine,Irvine,0,0,0,California
Hoag Hospital Newport Beach,Newport Beach,518,"31,135","130,372",California
Hoag Orthopedic Institute,Irvine,70,"4,585","8,339",California
Huntington Beach Hospital,Huntington Beach,131,"3,264","16,198",California
Huntington Hospital,Pasadena,568,"27,431","115,763",California
Inland Valley Medical Center,Wildomar,0,0,0,California
John F. Kennedy Memorial Hospital,Indio,130,"6,626","21,237",California
Kaiser Permanente Roseville Medical Center,Roseville,340,"23,533","93,479",California
Kaiser Permanente San Diego Medical Center,San Diego,0,0,0,California
Kaiser Permanente San Francisco Medical Center,San Francisco,239,"11,811","58,640",California
Kaiser Permanente South San Francisco Medical Center,South San Francisco,120,"5,617","19,873",California
Kaiser Permanente Zion Medical Center,San Diego,536,"25,202","107,544",California
Kaweah Delta Health Care District,Visalia,581,"23,675","115,606",California
Keck Hospital of USC,Los Angeles,330,"11,725","78,713",California
Kern Medical Center,Bakersfield,222,"10,057","51,151",California
LA Downtown Medical Center Downtown Campus,Los Angeles,234,"6,574","54,191",California
La Palma Intercommunity Hospital,La Palma,140,"2,890","11,170",California
Laguna Honda Hospital and Rehabilitation Center,San Francisco,780,24,93,California
Lakewood Regional Medical Center,Lakewood,172,"8,720","40,882",California
Loma Linda University Children's Hospital,Loma Linda,343,"10,859","88,968",California
Loma Linda University Medical Center,Loma Linda,524,"22,810","105,522",California
Loma Linda University Medical Center - Murrieta,Murrieta,112,"8,348","32,915",California
Loma Linda University Medical Center East Campus,Loma Linda,0,0,0,California
Loma Linda University Surgical Hospital,Redlands,0,0,0,California
Lompoc Valley Medical Center,Lompoc,170,"1,808","7,262",California
Long Beach Medical Center,Long Beach,453,"21,321","96,989",California
Los Alamitos Medical Center,Los Alamitos,146,"8,858","41,510",California
Los Angeles Community Hospital,Los Angeles,324,"10,549","52,093",California
Los Angeles Community Hospital at Norwalk,Norwalk,0,0,0,California
Los Angeles County and University of Southern California Medical Center,Los Angeles,670,"30,230","175,910",California
Los Angeles Medical Center,Los Angeles,528,"24,306","126,450",California
Los Robles Regional Medical Center,Thousand Oaks,327,"15,484","74,482",California
Mad River Community Hospital,Arcata,49,"1,832","8,354",California
Madera Community Hospital,Madera,106,"3,890","16,831",California
Manteca Medical Center,Manteca,251,"11,793","42,615",California
Marian Regional Medical Center,Santa Maria,388,"14,933","60,821",California
Marina Del Rey Hospital,Marina Del Rey,103,"4,680","15,798",California
Marshall Medical Center,Placerville,124,"5,133","22,005",California
"Martin Luther King, Jr. Community Hospital",Los Angeles,131,"8,720","35,944",California
Mee Memorial Hospital,King City,95,844,"3,066",California
Memorial Hospital Los Banos,Los Banos,40,"1,199","4,930",California
Memorial Hospital of Gardena,Gardena,172,"6,412","24,789",California
Memorial Medical Center,Modesto,419,"15,932","78,330",California
Menifee Global Medical Center,Menifee,84,"3,028","12,644",California
Menlo Park Surgical Hospital,Menlo Park,16,225,346,California
Mercy General Hospital,Sacramento,419,"14,085","61,149",California
Mercy Hospital Downtown Bakersfield,Bakersfield,226,"11,632","43,497",California
Mercy Hospital of Folsom,Folsom,106,"6,827","25,384",California
Mercy Hospital Southwest,Bakersfield,0,0,0,California
Mercy Medical Center,Merced,186,"11,860","49,054",California
Mercy Medical Center Redding,Redding,262,"13,455","62,477",California
Mercy San Juan Medical Center,Carmichael,370,"20,296","95,698",California
Methodist Hospital,Arcadia,348,"14,208","69,736",California
Methodist Hospital of Sacramento,Sacramento,329,"9,618","37,796",California
Mills-Peninsula Medical Center,Burlingame,301,"10,158","51,771",California
Mission Community Hospital,Panorama City,145,"9,046","44,713",California
Mission Hospital Laguna Beach,Laguna Beach,189,"3,028","14,617",California
Mission Hospital Mission Viejo,Mission Viejo,523,"17,856","78,352",California
Modesto Medical Center,Modesto,0,0,0,California
Montclair Hospital Medical Center,Montclair,106,"3,218","10,490",California
Monterey Park Hospital,Monterey Park,101,"4,898","21,067",California
Moreno Valley Medical Center,Moreno Valley,94,"4,720","14,442",California
Natividad Medical Center,Salinas,172,"8,488","35,339",California
Naval Health Clinic Lemoore,Lemoore,0,0,0,California
Naval Hospital Camp Pendleton,Camp Pendleton,0,0,0,California
Naval Medical Center San Diego,San Diego,0,0,0,California
NorthBay Medical Center,Fairfield,182,"9,516","44,007",California
NorthBay VacaValley Hospital,Vacaville,50,"2,683","11,822",California
Northridge Hospital Medical Center,Northridge,394,"12,668","51,230",California
Novato Community Hospital,Novato,47,"1,945","6,178",California
O'Connor Hospital,San Jose,348,"9,357","39,283",California
Oak Valley Hospital,Oakdale,150,680,"2,891",California
Oakland Medical Center,Oakland,365,"20,686","90,961",California
Olive View-UCLA Medical Center,Sylmar,304,"10,939","52,933",California
Olympia Medical Center,Los Angeles,204,"4,692","23,619",California
Ontario Medical Center,Ontario,0,0,0,California
Orange Coast Memorial Medical Center,Fountain Valley,218,"11,962","45,983",California
Orange County Global Medical Center,Santa Ana,228,"8,497","43,970",California
Orange County-Irvine Medical Center,Irvine,0,0,0,California
Oroville Hospital,Oroville,133,"13,372","45,671",California
Pacifica Hospital of the Valley,Sun Valley,231,"3,812","18,060",California
Palmdale Regional Medical Center,Palmdale,184,"8,196","33,682",California
Palo Verde Hospital,Blythe,51,983,"2,508",California
Palomar Medical Center Downtown Escondido,Escondido,0,0,0,California
Palomar Medical Center Escondido,Escondido,329,"24,148","89,760",California
Palomar Medical Center Poway,Poway,236,"5,635","19,869",California
